NACA 2R1
1.00000 0.00130
0.94801 0.00900
0.89900 0.01645
0.85274 0.02355
0.80903 0.03023
0.76769 0.03639
0.72855 0.04206
0.69146 0.04730
0.65627 0.05212
0.62287 0.05652
0.59112 0.06048
0.56094 0.06400
0.53220 0.06711
0.50483 0.06984
0.47874 0.07219
0.45384 0.07419
0.43007 0.07586
0.40737 0.07721
0.38566 0.07827
0.36489 0.07906
0.34501 0.07957
0.32596 0.07984
0.30771 0.07986
0.29020 0.07963
0.27340 0.07918
0.25728 0.07855
0.24178 0.07778
0.22689 0.07687
0.21257 0.07581
0.19879 0.07458
0.18552 0.07314
0.17275 0.07154
0.16044 0.06982
0.14858 0.06797
0.13713 0.06605
0.12610 0.06402
0.11544 0.06188
0.10515 0.05961
0.09521 0.05721
0.08561 0.05468
0.07633 0.05200
0.06735 0.04917
0.05866 0.04618
0.05026 0.04300
0.04212 0.03961
0.03424 0.03595
0.02660 0.03192
0.01920 0.02740
0.01203 0.02200
0.00508 0.01459
0.00168 0.00854
0.00000 0.00000
0.00000 0.00000
0.00168 -0.00581
0.00508 -0.01009
0.01203 -0.01541
0.01920 -0.01924
0.02660 -0.02229
0.03424 -0.02475
0.04212 -0.02684
0.05026 -0.02865
0.05866 -0.03026
0.06735 -0.03169
0.07633 -0.03298
0.08561 -0.03416
0.09521 -0.03523
0.10515 -0.03615
0.11544 -0.03695
0.12610 -0.03763
0.13713 -0.03823
0.14858 -0.03874
0.16044 -0.03920
0.17275 -0.03959
0.18552 -0.03992
0.19879 -0.04018
0.21257 -0.04038
0.22689 -0.04052
0.24178 -0.04059
0.25728 -0.04058
0.27340 -0.04048
0.29020 -0.04032
0.30771 -0.04011
0.32596 -0.03985
0.34501 -0.03954
0.36489 -0.03917
0.38566 -0.03873
0.40737 -0.03822
0.43007 -0.03763
0.45384 -0.03695
0.47874 -0.03619
0.50483 -0.03534
0.53220 -0.03440
0.56094 -0.03335
0.59112 -0.03216
0.62287 -0.03086
0.65627 -0.02937
0.69146 -0.02765
0.72855 -0.02562
0.76769 -0.02322
0.80903 -0.02034
0.85274 -0.01688
0.89900 -0.01270
0.94801 -0.00762
1.00000 -0.00130
